Área;Quartos;Banheiros;Endereço;Vagas de Garagem;Condomínio;IPTU;Preço de Venda
60;2;1;Apartamento para Venda, Teresina / PI, bairro Campestre, 2 dormitórios, 1 banheiro, 2 vagas de garagem, área total 60,90 m²;2;200;None;180000;
77;3;3;Apartamento para Venda, Teresina / PI, bairro Morros, 3 dormitórios, 2 suítes, 3 banheiros, 2 vagas de garagem, área total 77,00 m², área útil 77,00 m²;2;None;None;490000;
44;3;1;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 3 dormitórios, 1 banheiro, 1 vaga de garagem, área total 44,00 m²;1;330;None;150000;
67;2;1;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 67,00 m²;1;250;None;180000;
78;3;3;Apartamento para Venda, Teresina / PI, bairro Monte Castelo, 3 dormitórios, 2 suítes, 3 banheiros, 1 vaga de garagem, área total 78,00 m²;1;290;None;490000;
71;2;2;Apartamento para Venda, Teresina / PI, bairro Itararé, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 71,00 m², área útil 71,00 m²;1;200;None;150000;
65;3;2;Apartamento para Venda, Teresina / PI, bairro Uruguai, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 65,00 m²;2;280;None;310000;
94;3;3;Apartamento para Venda, Teresina / PI, bairro Fátima, 3 dormitórios, 1 suíte, 3 banheiros, área total 94,71 m²;None;793;None;500000;
48;2;1;Apartamento para Venda, Teresina / PI, bairro Campestre, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 48,00 m²;1;170;None;150000;
None;2;1;Apartamento para Venda, Teresina / PI, bairro CIDADE NOVA, 2 dormitórios, 1 banheiro, 1 vaga de garagem;1;None;None;155000;
96;3;1;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 1 banheiro, 2 vagas de garagem, área total 96,00 m²;2;430;None;500000;
58;2;None;Apartamento para Venda, Teresina / PI, bairro Noivos, 2 dormitórios, área total 58,00 m²;None;242;None;320000;
106;3;2;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 106,00 m², área útil 106,00 m²;2;80;None;242000;
None;3;1;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 1 banheiro, 1 vaga de garagem;1;None;None;159000;
77;3;2;Apartamento para Venda, Timon / MA, bairro Centro, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 77,00 m², área construída 77,00 m², área útil 77,00 m²;2;280;None;249000;
48;2;1;Apartamento para Venda, Teresina / PI, bairro Pedra Mole, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 48,00 m²;1;230;None;160000;
68;3;2;Apartamento para Venda, bairro SÃO JOÃO, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 68 m²;1;None;None;250000;
None;3;None;Apartamento para Venda, Teresina / PI, bairro ILHOTAS, 3 dormitórios;None;350;None;160000;
102;4;1;Apartamento para Venda, Teresina / PI, bairro Campestre, 4 dormitórios, 1 suíte, 1 banheiro, 2 vagas de garagem, área total 102,00 m²;2;298;None;250000;
45;2;1;Apartamento para Venda, Teresina / PI, bairro Santa Maria da Codipi, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 45,00 m², área útil 45,00 m²;1;None;None;160000;
76;2;1;Apartamento para Venda, Teresina / PI, bairro Campestre, 2 dormitórios, 2 suítes, 1 banheiro, área total 76,00 m²;None;265;None;280000;
77;3;None;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 2 suítes, área total 77,00 m²;None;370;None;250000;
49;2;1;Apartamento para Venda, Teresina / PI, bairro Dirceu Arcoverde, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 49,00 m², área útil 49,00 m²;1;180;None;160000;
64;2;2;Apartamento para Venda, Teresina / PI, bairro Morada do Sol, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 64,00 m²;1;250;None;280000;
